,movie_title,review_content,review_score
1134,Iron Monkey,A nonstop period actioner that ranks alongside Once Upon a Time in China.,3.5/5
1135,McHale's Navy,Leaky PT-boat of a comedy.,1/5
1136,Volcano,There's no real suspense here 'cause you don't care about anyone.,1/5
1137,Anna Karenina,"Like its opening, Leo Tolstoy's Anna Karenina is half-successful.",2.5/5
1138,Get Carter,"Filled with low-budget action and low-budget eroticism, Michael Caine unfortunately does not make much of an impression as a rough-and-tumble gangster.",2.5/5
1139,Traveller,"Thanks to rich characterizations and a strong cast, this is one story of con men in which the ""men"" are more important than the ""con.""",7/10
1140,Batman & Robin,This is the fourth in the gigantic film series and the second from director Joel Schumacher. It's also the fourth worst in the series (and second worst from Joel).,2/5
1141,The Van,The movie builds its comic scenes by close observation.,3/4
1142,Breakdown,Breakdown is as viscerally effective as any thriller Hollywood has turned out in the last few years.,8/10
1143,Pippi Longstocking,"Long in the tooth, too.",2/5
1144,Joyride,B-grade thrills,3/5
1145,Out to Sea,Sporadically engaging.,2.5/4
1146,Nothing to Lose,"Oedekerk's screenplay has serious ambitions, which it should have suppressed.",2/4
1147,Jack Frost,"Despite the snowman rape scene, this is not a fun B-movie. Nothing clever about it.",1/5
1148,George of the Jungle,"Depending on your point of view, this film is either truly awful or so bad it is good. In either case, be warned that a little of this repetitive movie can go a long way.",2.5/4
1149,Contact,"Carl Sagan's ode to the superior intelligence of aliens (and how us darned humans mess everything up) is consistently beautiful and interesting, but it never makes a point (except for that bit about the darned humans).",3.5/5
1150,Buddy,"Stifled by quaint Masterpiece Theatre-for-tykes pretensions, Buddy only comes alive when its quartet of real-life chimps go ape.",2/4
1151,Hoodlum,"The Sting-like ending with its crosses and double-crosses could have been better handled, but there are plenty of other payoffs.",3/4
1152,Steel,"The concept may not be bad, but there are times when the execution borders on embarassing.",2/4
1153,Fire Down Below,"Not a very good film, but it does offer a few pleasant surprises, and I was not expecting that from a Steven Seagal flick.",5/10
1154,Bliss,"My favorite exchange--Joseph: 'I can't come!' Maria: 'Too bad, MOTHERF**KER!'",1.5/4
1155,Picture Perfect,There are times when a bad ending doesn't seriously damage a motion picture. This is not one of those.,2.5/4
1156,Shall We Dance? (Shall We Dansu?),Masayuki Suo's direction combines the psychological and intriguing with comedy bits that might be found in a lesser movie.,3.5/4
1157,The Game,"The Game is an intensely exciting puzzle-gimmick thriller, the kind of movie that lets you know from the start that it's slyly aware of its own absurdity (which is why it can then get away with it).",B+
1158,Most Wanted,"The good news is that he infuses the potentially dry, formulaic plot with comedy. The bad news is that it's a by-the-numbers production.",C+
1159,The Keeper,Lacks insight though it's full of psychological implications.,C
1160,The Assignment,"A film of real finesse, style and intelligence, an espionage thriller of the old school, with some modern technical embellishments.",3/4
1161,The Peacemaker,"A sturdy, entertaining popcorn movie.",3/4
1162,No Way Out,"No Way Out borrows the template for socially conscious filmmaking from both Gentlemen's Agreement and Crossfire: it's half noir, half sermon.",2.5/4
1163,Seven Years in Tibet,"One of the season's more substantial large-scale entertainments, using colorful storytelling and Pitt's appealing presence to spotlight an imperialistic event that continues to cry for correction.",3/4
1164,One Night Stand,"The performances are all fine; it's the writer, composer, and director -- Mike Figgis all -- that spoil the show.",2/4
1165,Anastasia,A visually rich and extremely well-constructed story which shows a little nerve.,8/10
1166,12 Angry Men,This remake is worth viewing for the strength of the script and the fine performances.,3/4
1167,Firestorm,This film isn't apt to light your fire and it's doubtful it will ignite much action at the box-office.,1/4
1168,The Killers,The cast is excellent and Siodmak's direction is hard-edged and moody.,5/5
1169,Requiem for a Heavyweight,An all-time classic with Quinn giving one of the finest portrayals of his career. Gleason and Mickey Rooney are great in support.,5/5
1170,The Rainmaker,"You'll probably guess most of the twists in the story, but you'll have fun watching them anyway. Voight's reptilian performance alone is worth the price of admission.",3/4
1171,Fallen,Unfortunately the film wafts toward Seven turf soon afterward and stalls on a heavy burden of metaphysical chitchat. Washington's dazzling good looks are the only reason to stick with it.,1/4
1172,Fall,Fall leans too heavily in the direction of vain and smug.,1.5/5
1173,Great Expectations,"The film is a successful translation of the basic material from one period and approach to another. Especially in the early Florida scenes, it seems timeless.",3/4
1174,The Borrowers,"a touch of Dickens, a spritz of Rube Goldberg, and a dash of Monty Python",2.5/4
1175,Senseless,"Senseless is a Jim Carrey movie fighting to be a Penelope Spheeris movie, and losing.",2.5/4
1176,Merlin,"A nifty, loose-limbed epic miniseries: Sam Neill's last starring role?",4/5
1177,The Man in the Iron Mask,Features acting which is beyond reproach.,3/4
1178,Mr. Nice Guy (Yat goh hiu yan),Sub-standard Jackie Chan fare.,2/4
1179,Nightwatch,The so-called mystery is so incredibly predictable.,2/4
1180,Wide Awake,There is quite a bit of drama in the film but most of it is internal.,7/10
1181,Imitation of Life,"The movie looks incredible, especially considering it was made in 1934, and its sophisticated story is modern enough to be equally powerful today.",4/5
1182,Twilight,"At a slim 94 minutes, there's a lot of stuff that's packed into an awfully small package. Still, the chance to see Newman, Sarandon and Hackman working together is worth a cramp or two.",3/4
1183,Hush,It is to scary movies what Sesame Street's 'the Count' is to vampires.,37/100
1184,Passion (Godard's Passion),This film has enough intellectual stimulation in it for me not to loathe it...,C-
1185,The Mark of Zorro,Far and away the best Zorro ever!,5/5
1186,Of Mice and Men,Inventive filming of the Steinbeck novel with a classic performance by Chaney,4/5
1187,A Perfect Murder,"...the story offers so many lapses in logic, so many plot holes and so much dialogue to howl for that there's plenty to talk about afterward.",3/5
1188,Les Miserables,"A disappointing film that can be strangely cold and antiseptic, its wonderful story and its production save the day in the end. But if you don't want to see this version, you can rent one of the others or wait a few years for the next one.",3/4
1189,Madeline,"Madeline' is a quietly charming movie, for kids not too hyped on action and candy. It's assisted mightily by the presence of McDormand and Hawthorne, who play their roles precisely, not broadly, and come across as people, not caricatures.",3/4
1190,The Parent Trap,"Responsibility for making this Trap tender rests heaviest on the bird-size shoulders of auburn-haired, freckle-faced Lohan, now 11, who won the unenviable job of making us forget about Hayley Mills -- at least temporarily.",B
1191,Out of Sight,It's amazing that a film based on one of his novels has realized how to appropriately connect two characters emotionally with their audience.,4/4
1192,The Avengers,"Did anyone really think it would work? Critically savaged, already an embarrassing failure at the box office, The Avengers is a big, spinning Wiffle ball of a movie.",D+
1193,Dirty Work,"Worthless but awfully earnest slapstick from Macdonald, who ain't finding the Big Screen quite so simple.",1.5/5
1194,The Negotiator,"Just about everyone in The Negotiator is either blowing off steam or holding it in, and that's the movie's chief pleasure. The action is really a pipeline into audience fantasies-of restraint and release, of hot-blooded aggression made cool.",B+
1195,Blade,It's stylish and fast-paced. It's also a lot of fun.,3/4
1196,Mafia!,"This picture does for dumb humor what Armageddon does for action shots and The Mask of Zorro does for swordfights, flinging them out so frantically that you feel you've gotten your money's worth long before the halfway mark.",2/4
1197,Rounders,"You'll enjoy the superlative acting of Matt Damon, whose dimensions are tested and found in abundance here far more than they appear in his smaller role in Saving Private Ryan.",7/10
1198,Return to Paradise,...It all seems to be a predictable formula-driven film instead of one filled with an unpredictable raw energy.,C-
1199,Funny Games,This beautifully acted and paced German variant of Cape Fear ... is tricked out with a number of Brechtian devices to catch audiences in a voyeuristic trance.,3/5
1200,Soldier,An insipid science fiction action yarn that makes you long for the realism of Pigs in Space.,0/4
1201,Tango,The dancing is good enough to carry this film alone.,B-
1202,The Thin Red Line,An amazing triumph that proves what a master Terrence Malick is at his craft.,3.5/4
1203,Elizabeth,"Not only makes the traditionally stuffy and aloof British costume drama accessible, but entertaining and exciting as well.",3.5/4
1204,Happiness,"Happiness is not a film about happiness, but what is imagined as making one happy.",B+
1205,Cousin Bette,"It is fascinating to watch Cousin Bette as she lies to everyone, pulls the strings of her puppets, and distributes justice and revenge like an angry god.",3/4
1206,Life Is Beautiful (La Vita è bella),A deeply touching story told with imagination and humor.,3/4
1207,Mighty Joe Young,King Kong light. Insipid Joe Young. Just because this film is rated PG doesn't mean it has to be written on the level of an orangutan.,1/4
1208,At First Sight,"Since January is usually the time of year that is known as the dumping ground from bad movies, At First Sight comes as a refreshing and sophisticated change of pace.",3/4
1209,Supernova,Not a good movie by any stretch of the imagination.,5/10
1210,Lolita,The film is remarkably...disturbing. There's no other way to put it.,3.5/5
1211,True Crime,A wickedly effective thriller.,3/4
1212,Psycho,"This gutsy cinematic experiment is more than just a curiosity. It's an intelligent homage (at times even a spoof) and still a bit of a hand-wringer, even though pop culture has spoiled all the surprises.",3/4
1213,The Siege,"With gritty cinematography and taut editing, the film maintains its energy and offers a palatable reality as the tension tightens.",8/10
1214,Gloria,"The film itself is simply lifeless, with only an occasional laugh popping up here and there so that it isn't completely unbearable to watch.",1.5/4
1215,The Impostors,"This is easily one of the funniest films of the year and in many a year. A laugh riot. Honest. Please, Mum, give me more!",3.5/4
1216,Gunshy,It's clearly a good time with a good heart. Go see it.,3/4
1217,Wishful Thinking,"Too often wanders into unnecessary silliness, and the ending leaves something to be desired.",2/4
1218,Virus,You always have to be careful with the initial releases of any calendar year.,0.5/4
1219,Life,How could these two guys NOT be funny? See the movie and find out.,5/10
1220,Lost and Found,Marceau is bright and charismatic and lights up the screen.,71/100
1221,Go,Three fast-paced black comedies for the price of one with each fascinating enough to stand on its own.,3/4
1222,The Mummy,"Check your brain at the door, and enjoy the bumpy ride, cause this one will have you laughing, screaming and sighing your way into the mysterious world of ancient Egypt and its spooky-dooky myths.",8/10
1223,The Winslow Boy,You might have to wait a long time before you find a film with both a family and a lawyer portrayed in such a genuine and likable way.,A
1224,The King and I,The most stupefyingly incompetent animated feature to reach the big screen in recent memory.,0.5/4
1225,The General,"Cahill is played by Brendan Gleeson, an actor of blustery ferocity whose greasy hair, piggy jowls, and lumpish, slovenly physique would make him look harmless were it not for the angry dark pools of his eyes.",B-
1226,Payback,"Sadly, though, Payback finally puts Gibson at the mercy of a torture and sadism sequence so attenuated and so painful to watch that it sabotages the picture's own quite solid instincts for theater, innovation and wit.",2/4
1227,Bent,The material is not worthy of its setting.,2/4
1228,Buena Vista Social Club,The movie reminded me of a concert where somebody behind me is talking and moving around all the time. Let them play.,2/4
1229,Friends & Lovers,An inept farce with the mentality of a tittering 15-year-old boy peering under the bedcovers with a flashlight.,1/5
1230,The Confession,As timas atuaes so desperdiadas por um roteiro medocre com tendncia  pregao.,2/5
1231,I'll Be Home for Christmas,You aren't likely to build up much holiday cheer by forcing yourself to sit through this torturous ninety-minute debacle.,1/4
1232,Underground,"For anyone who's an aficionado of film, this is pure, unadulterated bliss.",4/4
1233,The Thirteenth Floor,"The movie works. And yet it fails to be a great one because of the dissatisfying last hour, which gives us predictable twists and atrocious conclusions.",3/4
1234,Der Unhold (The Ogre),"With his slightly cross- eyed gaze of wonderment mixed with ferocious intensity, Malkovich makes Abel both childlike and frightening.",3/4
1235,Black and White,Good cop/bad cop junk we've all already seen a million times before. The beautiful Gina Gershon spices it up a bit. Still not worth watching.,1/5
1236,Jack Frost,The novelty of the snowman effects wears thin after a while.,2.5/4
1237,Deep Blue Sea,The dramatic tension and the scary thrills are enhanced by the spatial limitations of a small complex that is being flooded.,2.5/4
1238,After Sex,Rouan succeeds in showing both the dark and light sides of passion.,3/5
1239,The Haunting,The idea that this film is supposedly based on the classic novel by Jackson is an insult to the author. The words 'insinuated by' would be more factual.,0/5
1240,Dick,"In exaggerating Nixon's mannerisms, Hedaya has created the year's funniest film caricature.",3.5/5
1241,William Shakespeare's 'A Midsummer Night's Dream',"It is the timeless appeal of those words, the impassioned performances, and a bring-down-the-house third act that make this high-spirited production live up to its title.",3/4
1242,Deja Vu,A dreamy romance that at its best has the magic of a fairy tale.,3/4
1243,An Ideal Husband,I felt like I was being one-lined to a loving death in this elegant Oscar Wilde comedy/drama costume play...,B+
1244,K-911,Slobber can be funny; sentimental dog 'n' man story,3/5
1245,Fireworks (Hana-bi),"Takeshi Kitano, who made it, must be very serene or very angry; only extreme states allow such a narrow focus.",3/4
1246,Animal Farm,...some fables should be left on the written page.,6/10
1247,In Too Deep,"In Too Deep isn't necessarily a bad film, just an average one.",2.5/4
1248,The Best Man,"It's a tribute to the actors' appeal that they can sling this hash and keep our sympathies, but they can't squeeze much drama from pure soap.",C+
1249,Man on the Moon,One of the year's most entertaining movies.,3.5/4
1250,Anna and the King,the sort of film that would have contended for a Best Picture Oscar in the mid-80s and handily won in the early 60s,B
1251,Double Jeopardy,"Everyone who plunked down $9.50 to see it could have most likely, at that moment the money left their hands, turned on the USA network and found the exact same movie playing.",D
1252,The Hurricane,"Forceful, dynamic, and wholly natural, Washington's performance ranks among the very best of his illustrious career.",3.5/4
1253,Diamonds,"[Not] a work of art, or even entertainment, but the filmic commensurate of a crippled panhandler using his handicap to beg for sympathy and change on a streetcorner.",F
1254,The End of the Affair,Beautifully passionate and extremely romantic.,4/4
1255,Guinevere,As inert as outer space.,1.5/4
1256,Mansfield Park,"Even if you have never read Austen, you will sense that something is wrong here long before a nude scene that would have made the author hide under a table.",2/4
1257,Miss Julie,"[The characters] talk, they fence, they dream, they are tender, they tease, they taunt, they dance closer and closer to the film's outcome, which, once you experience it, you know you saw coming right from the first.",2/4
1258,Superstar,"Mary Katherine's best suited for the small screen, so wait for the video.",3/10
1259,House on Haunted Hill,...too many special effects; not enough suspense or frights.,5/10
1260,Tumbleweeds,Nuanced performances that ring so true you can't help but become emotionally involved in their lives.,3/4
1261,The Bachelor,An innocuous waste-of-time.,D
1262,Last Night,A great movie.,4.5/5
1263,A Dog of Flanders,One is tempted on such a promising but cliched movie to reduce it to a one-phrase review. The one for this picture would be: Needs more dog.,2/4
1264,Eye of the Beholder,The movie might be worth seeing if you could find a theater that offers frequent-flier miles.,2/4
1265,The Celebration (Festen),"It's a fine line to walk, that between comedy and misery, but Vinterberg handles the balancing act magnificently.",4/4
1266,Excellent Cadavers,"Dull and pedantic, especially for an HBO production.",2/5
1267,Boiler Room,Boiler Room is a good-quality sleeper that ranks up there with Glengarry Glen Ross and Wall Street.,83/100
1268,What Planet Are You From?,"Bottom line, this is American Pie for boys-will -be- boys in the fiftysomething age range.",1/4
1269,Witness Protection,Who wants to watch a bunch of people that seemingly hate each other trapped in a small house for an extended period of time?,0.5/4
1270,The End of the Affair,This older B&W version of the recent remake puts less stress on the lust and more on the inner conflict the two lovers are having.,C+
1271,Whatever It Takes,"Besides being strictly perfunctory, the movie is marked by its offhand sense of cruelty.",2/5
1272,High Fidelity,...the plot could have been better explored if it was discovered what the plot was.,C-
1273,Inferno (Pilgrim),"My, has Ray Liotta's career fallen.",1.5/4
1274,Coming Soon,"Scarcely funny or interesting, much less shocking or provocative.",C-
1275,Where the Heart Is,So sugary sweet and packed with magic-realistic miracles it plays like an Oprah Winfrey-produced miniseries on crack.,2/5
1276,Committed,"Like Joline, Committed is pretty to look at but ultimately too irritating to spend 90 minutes with.",2/4
1277,Dinosaur,"The ultimate in special effects movies ... Unfortunately, the story being told is not the best that Disney has presented as its annual animated masterpiece.",6/10
1278,Screwed,"After watching this thankfully brief comedic abomination, one can't help thinking it was conceived during a 14-martini lunch.",0.5/4
1279,Hamlet,A high tech and cleverly staged adaptation of William Shakespeare's classic set in New York City in 2000.,4/5
1280,Road Trip,The one-liners are so spot-on and the characters so lively and refreshing in their individual eccentricities that Road Trip is a journey you'll want to make.,8/10
1281,Running Free,"For all its earnest effort and cinematic creativity, the core of this story is hackneyed and tedious.",2/4
1282,Sunshine,"This is a movie of substance and thrilling historical sweep, and its three hours allow Szabo to show the family's destiny forming and shifting under pressure.",3/4
1283,Gone in 60 Seconds (Gone in Sixty Seconds),It's impossible to care about Cage's mission.,2/5
1284,George Washington,"Without patronizing or sentimentalizing these characters, director David Gordon Green shows how they keep their souls alive in a terrible and toxic environment",4/5
1285,Shaft,Shaft pushes our buttons which means it's something that has been next to unheard-of this year: reasonably rousing screen entertainment.,3/4
1286,The Patriot,"The Patriot comes across strong with some excellent supporting performances, oftentimes breathtaking cinematography and a plot that, like it or not, does tap many emotions.",8/10
1287,Who's Minding the Store?,"Frank Tashlin's live action cartoon, as usual w/his favorite star Jerry Lewis.",4/5
1288,Slow Burn,The title gives an adequate description of what this thriller does to your time.,2/4
1289,The In Crowd,The In Crowd is one of those obscure features that a distributor sneaks into the summer marketplace when no one is looking.,1/4
1290,Loser,"The most mundane, most out-of-touch college romance of the year?",0/4
1291,Wildflowers,"Well-performed, low-key drama , beautifully filmed",3/5
1292,Saving Grace,"Ferguson and Blethyn worked hard to add some substance to the plot and characters, even while letting the surface seem shallow and easy.",3/4
1293,The Art of War,"Little more than a ridiculous action film with a plot as believable as the Warren Report, ugly violence that would have made Peckinpah cringe, and terrible acting by B-list actors.",1/5
1294,The Crew,"In a summer filled with crappy gross-out comedies, The Crew is a pleasant and amusing alternative.",2.5/4
1295,Backstage,"Compelling French drama about the nature of obsessive fan-dom, with strong central performances by both Isild LeBesco and Emmanuelle Seigner.",4/5
1296,Beowulf,"In an effort to give you, dear reader, insight into the source material from which the screenwriters reverently drew, we offer the following translation of key passages...",C-
1297,10 Cent Pistol,"Brutal and bloody, the narrative of his new film follows a twisted plot forward and backward in time, throwing off the viewer just when he thinks he has it understood.",7/10
1298,10 Cloverfield Lane,"A crackerjack exercise not just in genre but genres, with exacting direction, three great performances and a genuine respect for audience patience, intelligence and willingness to be go with a story that drags you hither and thither.",4/5
1299,10 Minutes Gone,Almost every element of the film has been seemingly engineered to be the ne + ultra of slapdash ineptitude.,0.5/4
1300,10 Questions for the Dalai Lama,"A slam-dunk for history classes -- informative and challenging, touching on issues of free speech, modernity, democracy, and globalism.",3/5
1301,10 Rules For Sleeping Around,"For a film so bent on naturalizing the presumably hilarious incongruity of ""the sexes,"" it sure features lots and lots of that site of horror: a naked male body. And for comedic purposes, of course.",0/4
1302,10 Things I Hate About You,Lame scenes are made nifty by the movie's endless energy.,3/4
1303,10 Years,"...an engaging, surprisingly moving piece of work that ultimately makes a far more positive impact than one might've initially anticipated.",3/4
1304,10th & Wolf,"A listless Godfather-meets-Donnie Brasco tale of undercover surveillance, blood allegiances, and wrenching betrayal.",1.5/4
1305,10x10,"By the time ""10x10"" starts coming to together, it's over, which is a strange way to build a thriller.",D+
1306,Bait,"With his patter kept in low gear and his dramatic scenes played with flat sincerity, [Foxx is] simply not compelling enough to center the film.",7/10
1307,Duets,Watching the intelligent Gwyneth Paltrow trying to play a dumb character like Liv is at best disconcerting and at worst embarrassing.,4/10
1308,Beautiful,"This movie has no point of view, a wildly inconsistent tone, and no understanding of its characters.",2/5
1309,Under Suspicion,"Not even the high-caliber talents of Gene Hackman and Morgan Freeman can save this stagy, ridiculously over-baked psychological thriller.",2/5
1310,Circus,"Too many twists and turns, from too many unexpected angles.",2.5/4
1311,Get Carter,"Worked for me despite its slow pace and somewhat predictable story line, because of the sharp turn given by Sly Stallone, its groovy tunes and its generally dark and gritty nature.",7/10
1312,Attack,"Aldrich conduz com segurana a tenso crescente da narrativa, e conta, ainda, com a forte presena de Palance. Os nicos problemas residem nos prolixos minutos finais e no personagem de Albert, que acaba se tornando muito caricatural.",4/5
1313,The Contender,"However neatly packaged, The Contender is double-dealing baloney.",55/100
1314,The Ladies Man,Incoherent mess.,1.5/4
1315,Lost Souls,"The only moments of terror in this ostensible horror flick are brought about by the appearance of the words 'Producer: Meg Ryan,' giving you chills in a way that only those words can.",1.5/5
1316,Bedazzled,"Sort of a comic coming-out party for Fraser, who's really improved since George of the Jungle and Dudley Do-Right.",8/10
1317,Blow Dry,Proves that it's possible for a movie to simultaneously blow and suck.,F
1318,A Kiss Before Dying,"This psychological thriller is penned by Ira Levin, of ""Rosemary's Baby"" fame...",B
1319,Malena,Less of a story than it is an extended passage of visual fetishism and offensive sexist meandering.,D
1320,Lies,I don't get off in watching the leads taking turns whipping each other in different hotel rooms.,C
1321,La Ciudad (The City),It gives faces to the faceless and is not easily forgotten.,3/4
1322,The Gift,"A suspenseful, involving story of a widow in a small town who uses her psychic abilities to provide a lifeline to several very troubled individuals.",3/5
1323,Traffic,"Drugs become a character, crafted with more complexity and nuance than the human characters in most films.",9/10
1324,Double Take,I had to do a double take on some of the plot holes.,3/5
1325,The Pledge,"The Pledge will cause many viewers to walk out of the theaters grumbling, since there is no traditional closure. But the way in which things turn out seems right for the material and the manner in which Penn has chosen to present it.",3/4
1326,Panic,"""Panic"" makes mistteps, but also takes some intriguing side roads, particularly in its unique familial relationships.",B-
1327,Hannibal,"[Anthony Hopkins] exudes a scary integrity, augmented by director Ridley Scott's penchant for grisly, highly stylized pieces of violence that reach operatic extremes, even though the plot is a bit confusing.",7/10
1328,Down to Earth,"Not only has Rock's edge been smoothed over, so have his smarts.",2/4
1329,Sweet November,"Flawed, to be sure, but its heart sure is in the right place.",2.5/4
1330,The Interview,"It is chillingly photographed by Simon Duggan, giving it a retro-noir film look.",B+
1331,The Brothers,The drama/comedy balance is not played out well.,5/10
1332,Heartbreakers,"What the comedy had going for it was a lot of spunk, enough to overlook the film's many drawbacks.",C+
1333,Someone Like You,"An enjoyable dramedy that is fairly obvious in where it is headed right from the start, but in getting there, it surprises in how moving and wise it becomes.",3/4
1334,Hamlet,"Although the movies haven't lacked for Hamlets recently, Ethan Hawke and Kenneth Branagh being the latest stars to have weighed in, Mr. Scott's is something that must be seen.",4/5
1335,L.I.E.,"Anyone with an eye for well-made, well-acted, emotionally powerful films will certainly find it worth watching.",A-
1336,Driven,Banal screenplays mars good visuals in this drama about racing car drivers.,2.5/4
1337,Ace in the Hole (The Big Carnival),"Excessively overrated Billy Wilder bile-bath, with Kirk Douglas at his teeth-gnashing hammiest.",2/5
1338,Bad Seed,The impressive score by Kurt Kuenne (Scrapbook) does a terrific job of setting the mood.,2.5/4
1339,Brother,Has a deceptive depth and a clarity of vision to match its direct style.,4/5
1340,Angel Eyes,"Unfortunately, ""Angel Eyes"" is almost always too obvious for its own good.",2/4
1341,The Animal,underpuppydog,3/4
1342,Evolution,A low-rent version of Men in Black.,2/4
1343,The Fast and the Furious,"But if you don't mind being taken for a mindless adrenaline ride across the glittering blacktops of Los Angeles, this could be excused as a guilty pleasure treat.",C+
1344,Pearl Harbor,"For a movie supposedly built around an event that transformed the United States from an isolationist nation into a world leader, it treats that occurrence like an intrusion.",2/4
1345,Time and Tide (Shun liu Ni liu),This music video-esque production (more eye-candy than logic) is still fun to watch.,2.5/4
1346,The Road Home (Wo de fu qin mu qin),A deeply eloquent film about an especially difficult period in China's recent past.,4/5
1347,Planet of the Apes,...if 20th Century Fox had set the proverbial 100 chimps in front of typewriters they would have gotten a better result than this adaptation of the Pierre Boulle novel...,C-
1348,The Score,"There's nothing you can't see coming in this flick, including the surprise ending.",3/5
1349,Heist,"The cast is brilliant, the plotting ingenious, the dialogue incendiary.",3.5/4
1350,The Others,The spookiest movie since 'The Sixth Sense.',3/4
1351,On the Edge,Jonathan Jackson is about as Irish as a taco.,2/5
1352,Hamlet,"A fine introduction to the greatest play in history, but fairly lightweight for purists.",3/5
1353,Big Trouble,"The big problem with Big Trouble, despite a fine cast and director, is that the damn thing isn't funny.",1/5
1354,Sidewalks of New York,There are seven million stories in New York: these are six of the funnier ones.,3/4
1355,The Pornographer,The film was a humorless and unclear look at the sleaze industry...,C
1356,The Wash,"This ain't no Friday; in fact, you'd be wasting a perfectly good high on it.",2/4
1357,Collateral Damage,Abort! Abort! It's that time of year when Hollywood releases movies it should never have made in the first place.,0.5/5
1358,The Count of Monte Cristo,Slapped a smile on my face and less stress on my mind...,7/10
1359,On the Line,"This romantic comedy redefines the low-end of its genre, with a stale, predictable plot, 100 per cent fizzling jokes, awful acting and a sit-com quality production.",52/100
1360,Uprising,A solid network effort about heroism in a most immoral world.,3/4
1361,Invincible,Real-life strongman Ahola lacks the charisma and ability to carry the film on his admittedly broad shoulders.,2/5
1362,Texas Rangers,"...plays like it was led to slaughter in the editing room after being taken away from a director who'd read ""Westerns for Dummies.",1.5/4
1363,Iris,"Yes, that's Oscar knocking on Dench's door.",2.5/4
1364,James Dean,"...entertaining, in a movie-of-the-week sort of way.",2.5/4
1365,Behind Enemy Lines,Behind Enemy Lines is so effective as chest-beating nationalism you might forgive the filmmakers for offensively turning a Bosnian grave site into a whacky set piece.,1/4
1366,The Order,...Van Damme even goes so far as to co-write the script - though I suspect his contribution was limited to the many lame one-liners peppered throughout the film.,2/4
1367,Scooby-Doo,The best to be said is that it's less inept than the original series.,2/5
1368,Crossroads,Sexless Britney is also blas Britney and Crossroads might as well be a dry-hump through a Baby-Sitters Club book.,0.5/4
1369,The New Guy,...registers very high on the stupid-movie scale.,D
1370,Conspiracy,"Watching it, I was paralyzed with a sense of shame and disquiet.",3/4
1371,The Time Machine,"Like heading for a three weeks' vacation in Paris but winding up in Passaic, New Jersey instead.",2/4
1372,The Rookie,Is it me or does this movie feel like the sanitized version of Bull Durham to anyone else?,5/10
1373,Showtime,Impossibly lightweight for TV satire.,2/4
1374,Human Nature,"If you like quirky, odd movies and/or the ironic, here's a fun one.",2.5/4
1375,Murder by Numbers,Bullock ... seems to have nothing deeper in mind than doing a sappy big-screen version of TV's CSI.,2/5
1376,Enigma,It's a ripping yarn that recalls such early Hitchcock classics as The Secret Agent and The Man Who Knew Too Much.,4/5
1377,Joshua,"When you resurrect a dead man, Hard Copy should come a-knocking, no?",3/5
1378,11:14,...gimmicky but ultimately enjoyable...,3/4
1379,Enough,A manipulative feminist empowerment tale thinly posing as a serious drama about spousal abuse.,2/4
1380,Insomnia,An engrossing and inventive thriller.,A
1381,Shiner,"Opening with some contrived banter, cliches and some loose ends, the screenplay only comes into its own in the second half.",3/5
1382,They,"One of the best silly horror movies of recent memory, with some real shocks in store for unwary viewers.",4/5
1383,Brother's Keeper,Just shy of torture.,1.5/5
1384,Trapped,What might have been a tight little thriller is ruined by excess plot contrivances and a badly bungled over-the-top conclusion.,64/100
1385,Beat,This failed effort would have been better served if it wasn't released.,C-
1386,The Dogwalker,"This isn't a retooled genre piece, the tale of a guy and his gun, but an amiably idiosyncratic work.",3/5
1387,Derailed,...an overblown annoyance.,1/4
1388,Swept Away,...the real problem here is that it's just not interesting.,1.5/4
1389,All or Nothing,"American audiences may rebel against such unrelenting bleakness, but said audiences will not find a more intimate emotional portrait at their local multiplex.",3.5/5
1390,Femme Fatale,"Top-billed Rebecca Romijn-Stamos looks the parts and gyrates nicely, but doesn't register as a classic femme fatale.",2.5/5
1391,The Quiet American,Its love story eclipses rather than complements the inherent spy thriller that skewers Yankee imperialism in the book.,3/5
1392,Door to Door,Laden with more cheese than I can typically bear,4/10
1393,One Week,A rather crude affair that feels like a student film.,2/4
1394,Empire,"Victor is great character, played with macho zeal by Leguizamo.",3/5
1395,Adaptation,"Adaptation could very well be one of the best films of the year -- It truly is a roller coaster ride of pioneering pandemonium, and shouldn't be missed.",4/5
1396,Pinocchio,The film's stagecrafts are intimate and therefore bolder than the otherwise calculated artifice that defines and overwhelms the film's production design.,1.5/4
1397,Nicholas Nickleby,The title character is too goody-two shoes to give Charlie Hunnam a breakthrough but a pair of villains eat up the scenery in delightful holiday fare.,3/4
1398,The Gathering Storm,"Well-made HBO biopic not the Churchill best known to popular imagination, but a lesser-known figure  a washed-up, unpopular MP nattering on in the House of Commons about views on India and Germany shared by few",B+
1399,Lockdown,Here's hoping Richard T. Jones will get a chance to display his chops in a real movie sometime.,2.5/4
1400,The Hunted,"Bearing a flimsy plot, 'The Hunted' looks like a paste-up job from any number of action movies.",2/4
1401,Down (The Shaft),"If you paid to see this flick, I think it's fair to say you got the shaft.",C-
1402,Avenging Angelo,"Hopefully, someone will look at this film, realize that Stallone has the potential to headline a better movie again...and next time I'll be reviewing a film of his that isn't just 'endurable'",2.5/5
1403,Anger Management,"Where Punch-Drunk Love emphasized incongruous romance, this film highlights bizarre comedy much the same way it was achieved in Planes, Trains & Automobiles.",6/10
